Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-05-31T22:15:09.431Z","","","Included","composer-2.5-fast","No","0","1376","93472","308","95156","Included"
"2026-05-31T22:11:22.118Z","bc-dbc14089-b308-4a61-9c96-ed3b8fc8a6ce","","Included","gpt-5.5-high","Yes","0","5865","522752","1656","530273","Included"
"2026-05-31T22:06:06.154Z","bc-dbc14089-b308-4a61-9c96-ed3b8fc8a6ce","","Included","gpt-5.5-high","Yes","0","5449","522240","353","528042","Included"
"2026-05-31T22:02:04.060Z","bc-dbc14089-b308-4a61-9c96-ed3b8fc8a6ce","","Included","gpt-5.5-high","Yes","0","8792","520192","481","529465","Included"
"2026-05-31T22:01:00.925Z","bc-dbc14089-b308-4a61-9c96-ed3b8fc8a6ce","","Included","gpt-5.5-high","Yes","0","5461","519680","520","525661","Included"
"2026-05-31T21:59:41.096Z","bc-dbc14089-b308-4a61-9c96-ed3b8fc8a6ce","","Included","gpt-5.5-high","Yes","0","6090","518656","405","525151","Included"
"2026-05-31T21:55:07.457Z","","","Included","composer-2.5-fast","No","0","138599","3304352","18884","3461835","Included"
"2026-05-31T21:53:41.421Z","bc-dbc14089-b308-4a61-9c96-ed3b8fc8a6ce","","Included","gpt-5.5-high","Yes","0","6656","517120","1542","525318","Included"
"2026-05-31T21:24:32.112Z","bc-dbc14089-b308-4a61-9c96-ed3b8fc8a6ce","","Included","gpt-5.5-high","Yes","0","5467","516608","973","523048","Included"
"2026-05-31T21:16:38.356Z","bc-dbc14089-b308-4a61-9c96-ed3b8fc8a6ce","","Included","gpt-5.5-high","Yes","0","5834","515584","405","521823","Included"
"2026-05-31T21:09:37.352Z","bc-dbc14089-b308-4a61-9c96-ed3b8fc8a6ce","","Included","gpt-5.5-high","Yes","0","7960","513536","531","522027","Included"
"2026-05-31T21:07:55.540Z","","","Included","composer-2.5-fast","No","0","115318","1669344","16752","1801414","Included"
"2026-05-31T21:05:23.999Z","bc-dbc14089-b308-4a61-9c96-ed3b8fc8a6ce","","Included","gpt-5.5-high","Yes","0","7344","510976","1023","519343","Included"
"2026-05-31T21:01:10.984Z","","","Included","composer-2.5-fast","No","0","730","168928","318","169976","Included"
"2026-05-31T20:59:24.355Z","bc-dbc14089-b308-4a61-9c96-ed3b8fc8a6ce","","Included","gpt-5.5-high","Yes","0","61678","3035136","2052","3098866","Included"
"2026-05-31T20:56:25.185Z","","","Included","composer-2.5-fast","No","0","1023","167648","914","169585","Included"
"2026-05-31T20:55:02.647Z","","","Included","composer-2.5-fast","No","0","165363","168416","1722","335501","Included"
"2026-05-31T20:49:31.379Z","bc-dbc14089-b308-4a61-9c96-ed3b8fc8a6ce","","Included","gpt-5.5-high","Yes","0","115711","9527808","7923","9651442","Included"
"2026-05-31T20:45:14.599Z","bc-dbc14089-b308-4a61-9c96-ed3b8fc8a6ce","","Included","gpt-5.5-high","Yes","0","29381","1859072","2065","1890518","Included"
