stem,linea,color_excel,archivo_esperado
1000465_0001.jpg,1000465,0001,1000465_0001.jpg
1000724_2735.jpg,1000724,2735,1000724_2735.jpg
1001712_0460.jpg,1001712,0460,1001712_0460.jpg
1001722_40077.jpg,1001722,40077,1001722_40077.jpg
10105_6805.jpg,10105,6805,10105_6805.jpg
10123_2271.jpg,10123,2271,10123_2271.jpg
10124_0452.jpg,10124,0452,10124_0452.jpg
10124_70116.jpg,10124,70116,10124_70116.jpg
10166_0001.jpg,10166,0001,10166_0001.jpg
10166_0467.jpg,10166,0467,10166_0467.jpg
10166_6729.jpg,10166,6729,10166_6729.jpg
10173_40040.jpg,10173,40040,10173_40040.jpg
10219_6806.jpg,10219,6806,10219_6806.jpg
10253_0001.jpg,10253,0001,10253_0001.jpg
103028_4372.jpg,103028,4372,103028_4372.jpg
103121_0223.jpg,103121,0223,103121_0223.jpg
104274_0001.jpg,104274,0001,104274_0001.jpg
104274_6101.jpg,104274,6101,104274_6101.jpg
104311_0001.jpg,104311,0001,104311_0001.jpg
105374_0001.jpg,105374,0001,105374_0001.jpg
105396_0001.jpg,105396,0001,105396_0001.jpg
105701_0001.jpg,105701,0001,105701_0001.jpg
105934_0001.jpg,105934,0001,105934_0001.jpg
106013_6101.jpg,106013,6101,106013_6101.jpg
106287_40009.jpg,106287,40009,106287_40009.jpg
106315_0001.jpg,106315,0001,106315_0001.jpg
107624_6805.jpg,107624,6805,107624_6805.jpg
108601_0001.jpg,108601,0001,108601_0001.jpg
108605_40051.jpg,108605,40051,108605_40051.jpg
108606_6729.jpg,108606,6729,108606_6729.jpg
108618_40012.jpg,108618,40012,108618_40012.jpg
108626_0001.jpg,108626,0001,108626_0001.jpg
108633_40038.jpg,108633,40038,108633_40038.jpg
108664_3431.jpg,108664,3431,108664_3431.jpg
108664_6805.jpg,108664,6805,108664_6805.jpg
108691_3431.jpg,108691,3431,108691_3431.jpg
108699_70116.jpg,108699,70116,108699_70116.jpg
108707_0001.jpg,108707,0001,108707_0001.jpg
108709_0001.jpg,108709,0001,108709_0001.jpg
108709_6790.jpg,108709,6790,108709_6790.jpg
108712_0001.jpg,108712,0001,108712_0001.jpg
108712_6788.jpg,108712,6788,108712_6788.jpg
108712_70126.jpg,108712,70126,108712_70126.jpg
108721_4372.jpg,108721,4372,108721_4372.jpg
108829_2271.jpg,108829,2271,108829_2271.jpg
108956_0001.jpg,108956,0001,108956_0001.jpg
108956_0467.jpg,108956,0467,108956_0467.jpg
108970_0452.jpg,108970,0452,108970_0452.jpg
109215_467.jpg,109215,467,109215_467.jpg
109326_467.jpg,109326,467,109326_467.jpg
109583_6790.jpg,109583,6790,109583_6790.jpg
109603_6826.jpg,109603,6826,109603_6826.jpg
109827_40009.jpg,109827,40009,109827_40009.jpg
109855_6826.jpg,109855,6826,109855_6826.jpg
110122_2326.jpg,110122,2326,110122_2326.jpg
110125_40077.jpg,110125,40077,110125_40077.jpg
110125_40082.jpg,110125,40082,110125_40082.jpg
110126_40086.jpg,110126,40086,110126_40086.jpg
110126_6826.jpg,110126,6826,110126_6826.jpg
110138_0467.jpg,110138,0467,110138_0467.jpg
110537_0467.jpg,110537,0467,110537_0467.jpg
110651_40054.jpg,110651,40054,110651_40054.jpg
110651_40064.jpg,110651,40064,110651_40064.jpg
110651_6826.jpg,110651,6826,110651_6826.jpg
111092_6826.jpg,111092,6826,111092_6826.jpg
11718_40082.jpg,11718,40082,11718_40082.jpg
11870_70116.jpg,11870,70116,11870_70116.jpg
11965_1.jpg,11965,1,11965_1.jpg
11965_6826.jpg,11965,6826,11965_6826.jpg
11968_6826.jpg,11968,6826,11968_6826.jpg
11971_467.jpg,11971,467,11971_467.jpg
11971_6826.jpg,11971,6826,11971_6826.jpg
12118_40078.jpg,12118,40078,12118_40078.jpg
12118_70157.jpg,12118,70157,12118_70157.jpg
12144_40090.jpg,12144,40090,12144_40090.jpg
12150_9010.jpg,12150,9010,12150_9010.jpg
12158_9010.jpg,12158,9010,12158_9010.jpg
12240_6147.jpg,12240,6147,12240_6147.jpg
12265_9010.jpg,12265,9010,12265_9010.jpg
12269_6842.jpg,12269,6842,12269_6842.jpg
12291_6832.jpg,12291,6832,12291_6832.jpg
12298_40084.jpg,12298,40084,12298_40084.jpg
12623_40071.jpg,12623,40071,12623_40071.jpg
14196_0001.jpg,14196,0001,14196_0001.jpg
14645_0001.jpg,14645,0001,14645_0001.jpg
14724_40046.jpg,14724,40046,14724_40046.jpg
15044_0467.jpg,15044,0467,15044_0467.jpg
15145_3419.jpg,15145,3419,15145_3419.jpg
2000791_0001.jpg,2000791,0001,2000791_0001.jpg
2000845_400030.jpg,2000845,400030,2000845_400030.jpg
2001246_0001.jpg,2001246,0001,2001246_0001.jpg
206296_40062.jpg,206296,40062,206296_40062.jpg
206401_3263.jpg,206401,3263,206401_3263.jpg
206404_6800.jpg,206404,6800,206404_6800.jpg
206646_0001.jpg,206646,0001,206646_0001.jpg
206702_0001.jpg,206702,0001,206702_0001.jpg
207053_40080.jpg,207053,40080,207053_40080.jpg
207053_6826.jpg,207053,6826,207053_6826.jpg
207054_40064.jpg,207054,40064,207054_40064.jpg
207054_6826.jpg,207054,6826,207054_6826.jpg
207090_4372.jpg,207090,4372,207090_4372.jpg
207090_6826.jpg,207090,6826,207090_6826.jpg
207109_40009.jpg,207109,40009,207109_40009.jpg
207119_6826.jpg,207119,6826,207119_6826.jpg
5000056_70165.jpg,5000056,70165,5000056_70165.jpg
50736_9010.jpg,50736,9010,50736_9010.jpg
6000353_40007.jpg,6000353,40007,6000353_40007.jpg
6000361_0001.jpg,6000361,0001,6000361_0001.jpg
600242_40081.jpg,600242,40081,600242_40081.jpg
600242_6826.jpg,600242,6826,600242_6826.jpg
600246_70152.jpg,600246,70152,600246_70152.jpg
600285_6788.jpg,600285,6788,600285_6788.jpg
